Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691211
,ICP.M.AT.N.011100.4.ANR,ICP.M.AT.N.011200.4.ANR,ICP.M.AT.N.011400.4.ANR,ICP.M.AT.N.011500.4.ANR,ICP.M.AT.N.011700.4.ANR,ICP.M.AT.N.011800.4.ANR,ICP.M.BE.N.011100.4.ANR,ICP.M.BE.N.011200.4.ANR,ICP.M.BE.N.011400.4.ANR,ICP.M.BE.N.011500.4.ANR,ICP.M.BE.N.011700.4.ANR,ICP.M.BE.N.011800.4.ANR,ICP.M.BG.N.011100.4.ANR,ICP.M.BG.N.011200.4.ANR,ICP.M.BG.N.011400.4.ANR,ICP.M.BG.N.011500.4.ANR,ICP.M.BG.N.011700.4.ANR,ICP.M.BG.N.011800.4.ANR,ICP.M.CY.N.011100.4.ANR,ICP.M.CY.N.011200.4.ANR,ICP.M.CY.N.011400.4.ANR,ICP.M.CY.N.011500.4.ANR,ICP.M.CY.N.011700.4.ANR,ICP.M.CY.N.011800.4.ANR,ICP.M.CZ.N.011100.4.ANR,ICP.M.CZ.N.011200.4.ANR,ICP.M.CZ.N.011400.4.ANR,ICP.M.CZ.N.011500.4.ANR,ICP.M.CZ.N.011700.4.ANR,ICP.M.CZ.N.011800.4.ANR,ICP.M.D0.N.011100.4.ANR,ICP.M.D0.N.011200.4.ANR,ICP.M.D0.N.011400.4.ANR,ICP.M.D0.N.011500.4.ANR,ICP.M.D0.N.011700.4.ANR,ICP.M.D0.N.011800.4.ANR,ICP.M.DE.N.011100.4.ANR,ICP.M.DE.N.011200.4.ANR,ICP.M.DE.N.011400.4.ANR,ICP.M.DE.N.011500.4.ANR,ICP.M.DE.N.011700.4.ANR,ICP.M.DE.N.011800.4.ANR,ICP.M.DK.N.011100.4.ANR,ICP.M.DK.N.011200.4.ANR,ICP.M.DK.N.011400.4.ANR,ICP.M.DK.N.011500.4.ANR,ICP.M.DK.N.011700.4.ANR,ICP.M.DK.N.011800.4.ANR,ICP.M.EE.N.011100.4.ANR,ICP.M.EE.N.011200.4.ANR
2014Mar,2.4,0.4,7.1,3.6,0.9,2.4,0.2,1.6,3.0,0.0,-5.4,-0.4,-2.4,-1.9,3.3,-9.9,-5.5,-8.0,0.8,-2.9,0.2,1.3,-21.9,0.0,0.1,3.2,9.2,6.8,2.6,4.0,-0.1,0.7,3.2,0.8,-1.6,0.3,1.3,0.2,8.6,5.6,-2.8,1.7,-0.7,-3.6,4.8,2.5,-5.5,-0.8,2.5,0.5
2014Feb,2.2,0.9,6.7,5.1,3.0,2.3,0.3,2.4,3.0,0.0,-3.3,0.1,-2.2,-1.4,3.0,-10.1,-1.6,-6.9,-2.6,-2.7,0.1,2.5,-16.6,-0.4,0.5,1.9,8.9,6.2,12.8,2.0,0.0,1.0,3.0,1.5,1.6,0.4,1.2,1.0,9.0,10.3,4.8,2.5,-0.3,-2.9,7.0,1.3,-1.2,-2.1,2.0,0.7
2014Jan,3.0,0.7,6.9,5.7,2.1,2.2,1.0,2.5,3.3,0.7,-1.1,0.2,-2.0,-1.0,2.0,-10.4,-3.1,-5.9,-3.0,-2.4,-0.3,1.1,-20.2,-1.3,-0.5,2.6,8.3,6.3,16.9,0.3,0.1,1.0,2.9,2.4,3.0,0.3,1.5,0.7,9.2,11.7,5.3,2.5,-0.5,-2.3,3.4,0.4,-0.8,-1.9,2.0,2.1
2013Dec,2.2,0.8,6.5,6.0,2.3,1.7,1.4,2.9,3.2,2.0,0.1,1.2,-2.3,-1.5,2.8,-8.3,2.4,-5.3,-2.1,-1.3,1.1,1.4,3.6,0.4,0.9,2.4,9.0,7.1,21.0,-0.2,0.5,1.1,2.7,2.4,3.8,0.0,1.7,1.5,9.2,11.2,4.7,2.4,0.6,-4.4,3.1,-10.7,0.1,0.4,1.5,2.5
2013Nov,3.0,2.1,5.2,6.2,0.5,1.3,1.7,3.1,3.0,2.4,-1.1,2.0,-0.8,-1.0,2.8,-7.7,5.9,-5.2,-2.0,-2.4,1.2,1.0,-9.7,-0.4,1.0,2.4,6.5,5.8,11.7,2.0,0.4,1.4,2.4,3.7,1.4,0.2,1.8,1.7,8.5,13.3,-0.4,2.9,0.4,-4.1,2.0,-10.7,0.5,0.0,2.0,2.0
2013Oct,3.4,2.8,5.2,9.0,3.5,1.5,2.0,3.5,2.7,2.8,-2.1,2.2,-0.3,-0.3,2.1,-6.7,6.2,-3.9,-1.6,-1.4,1.8,3.1,15.4,-0.3,2.1,2.7,5.1,8.4,14.6,0.7,0.8,2.1,2.4,4.8,1.9,0.4,2.3,3.3,8.7,13.9,2.9,2.5,0.7,-3.8,3.0,-8.2,3.1,0.8,2.5,2.4
2013Sep,3.4,3.0,4.3,6.7,1.5,1.7,2.6,4.1,2.0,2.9,5.0,2.1,0.2,1.4,2.2,-5.8,-4.1,-4.6,-2.2,-0.7,1.9,1.7,-3.1,0.3,2.3,3.9,4.3,11.2,15.2,0.7,1.1,2.7,1.9,5.7,4.2,1.1,2.3,3.6,6.8,13.3,7.1,3.1,0.1,-2.2,3.5,-6.3,7.2,2.4,3.2,3.5
2013Aug,2.6,5.1,4.5,7.3,0.7,1.1,3.2,4.5,2.0,3.1,1.4,3.0,1.5,5.2,2.9,-0.5,-7.0,-4.1,-2.0,-0.1,2.1,1.2,-11.0,0.2,2.4,4.7,3.4,6.8,20.6,0.7,1.7,3.1,1.8,6.5,5.6,1.3,2.3,4.3,6.4,15.1,7.0,2.9,-0.8,-2.7,2.4,-7.4,4.6,1.2,3.0,5.1
2013Jul,3.0,6.3,3.2,7.8,4.4,1.2,3.9,4.7,2.4,3.7,4.3,3.8,2.9,5.0,2.6,2.7,4.0,-2.1,-0.5,1.3,2.1,2.9,-2.2,-2.1,2.4,4.4,0.6,7.5,26.9,1.3,1.9,3.1,1.4,6.2,8.7,1.6,2.2,4.0,6.1,15.2,11.0,3.8,0.3,-0.2,0.9,-9.0,5.6,0.2,2.4,5.5
2013Jun,2.9,6.2,3.0,5.8,10.6,0.8,4.1,4.7,2.2,3.7,9.7,4.6,3.5,5.1,2.8,2.7,19.5,-0.9,-0.3,1.6,2.5,2.9,18.1,0.0,1.8,5.3,-0.6,7.4,27.2,2.3,1.9,3.0,1.0,5.8,9.1,1.4,2.4,4.3,5.5,12.7,10.3,2.1,0.0,-0.9,-1.1,-7.8,4.4,1.6,2.4,5.4
2013May,2.9,5.5,3.2,3.3,12.8,1.9,3.8,4.5,2.2,2.8,2.5,4.3,3.7,5.0,2.5,4.9,10.6,-0.2,-0.4,1.8,2.3,1.7,-6.8,-1.5,2.7,5.3,-0.9,6.4,21.9,0.0,2.1,3.0,0.8,5.0,9.6,1.6,2.5,5.0,4.5,9.6,12.4,2.3,1.2,-0.9,0.0,-10.6,3.5,2.4,2.0,6.3
2013Apr,3.6,6.7,1.7,3.0,8.7,2.1,3.5,4.5,1.8,2.6,6.2,4.7,4.0,5.6,0.4,4.0,14.3,-1.3,-0.1,5.0,2.4,3.8,1.3,-1.1,2.9,5.6,-1.0,3.2,20.2,2.9,2.1,3.3,0.1,3.7,7.9,2.1,2.6,4.8,1.8,2.6,6.0,2.4,1.4,-0.5,0.5,-9.8,5.4,4.7,1.8,6.5
2013Mar,3.2,5.5,0.9,1.6,3.1,1.8,3.3,4.4,1.3,2.5,1.6,4.8,4.3,6.6,-0.6,4.2,17.7,-1.8,-0.9,3.9,8.0,3.6,6.7,0.4,1.2,6.8,-4.3,0.7,15.8,-0.6,2.0,3.3,0.4,3.1,4.6,1.9,2.8,5.2,1.7,0.4,1.6,2.6,0.5,2.0,0.3,-7.4,4.9,2.8,1.9,7.5
2013Feb,3.5,7.0,1.2,0.8,3.8,3.2,3.1,3.6,2.0,1.7,-0.3,4.3,4.2,7.4,2.8,5.2,12.5,-2.7,0.3,2.5,14.3,2.6,-6.4,1.1,1.7,7.2,2.4,-0.8,13.2,1.2,2.0,3.5,1.2,2.7,4.2,1.9,2.8,4.9,2.0,-2.3,-0.1,2.7,1.2,2.0,-1.0,-6.9,5.2,4.4,2.0,7.5
2013Jan,3.1,7.3,0.9,-0.5,9.6,3.9,3.0,3.0,1.6,1.0,7.2,4.4,3.9,7.9,4.8,6.2,21.9,-2.1,1.1,0.8,13.5,4.5,6.5,1.2,2.5,6.8,3.7,-2.8,21.0,3.4,2.2,3.7,1.6,2.1,9.4,2.7,3.4,5.7,1.4,-3.4,8.9,2.7,1.7,1.2,0.2,-5.4,7.4,7.6,1.4,6.7
2012Dec,4.2,8.3,1.3,-0.7,13.2,4.3,2.9,3.1,1.8,-0.6,7.7,4.2,3.1,8.1,4.7,6.0,10.0,-2.3,-0.6,1.7,0.7,0.8,2.3,1.0,0.8,8.7,2.9,-2.5,17.2,1.5,2.2,4.0,1.6,2.0,8.3,3.0,3.3,5.6,0.3,-3.5,13.0,2.9,0.8,4.0,0.0,2.6,4.1,9.8,2.0,7.8
2012Nov,3.7,7.0,0.4,-1.8,9.5,4.8,3.1,2.8,2.1,-0.6,6.3,3.8,1.5,8.2,5.5,5.7,4.3,-2.2,-0.6,1.9,1.5,1.3,-8.8,1.0,1.5,10.2,6.0,0.8,11.7,1.6,2.3,4.1,1.7,1.2,6.0,3.4,3.7,6.1,-0.1,-6.4,7.3,3.4,1.8,4.0,1.4,3.3,4.2,10.9,1.2,9.6
2012Oct,3.4,6.4,-0.1,-3.1,6.4,4.2,3.2,2.3,2.2,-0.9,12.2,4.8,1.4,9.0,6.0,4.9,7.7,-1.7,0.3,2.5,1.2,-0.1,7.6,2.0,0.5,10.4,7.7,-0.8,15.7,4.2,2.1,3.8,1.5,0.2,7.5,3.4,3.6,4.7,-2.8,-6.6,7.1,3.5,1.2,4.8,-0.5,4.1,1.5,12.3,1.0,9.7
2012Sep,3.3,6.2,0.9,-3.8,9.9,3.8,2.6,1.9,1.8,-0.5,8.7,5.0,1.2,8.1,5.5,3.3,22.7,-1.6,0.2,2.6,1.5,1.3,22.8,1.7,0.4,9.9,8.1,-3.4,14.2,6.5,2.0,3.6,1.5,-0.9,6.3,3.2,3.6,4.5,-2.3,-8.5,3.0,4.0,3.1,6.6,1.0,13.0,3.3,11.6,0.1,7.9
2012Aug,4.2,4.8,2.2,-2.9,10.5,4.8,2.3,1.5,2.1,0.0,12.5,4.4,0.1,4.2,4.8,0.9,16.0,-1.0,-0.1,1.1,1.0,0.5,26.4,1.6,0.9,7.8,9.5,-1.5,15.5,6.9,2.0,3.2,1.5,-1.1,4.2,3.5,3.6,4.6,-2.0,-9.4,4.3,4.6,3.5,4.3,2.4,14.6,7.3,11.3,1.2,6.9
2012Jul,3.8,3.7,2.5,-3.1,4.9,6.7,2.0,1.9,1.8,1.9,9.1,3.3,-1.0,4.4,5.4,-1.5,3.6,-2.2,0.2,-0.5,1.7,0.9,15.0,2.3,1.5,7.7,10.1,-1.9,9.9,6.6,1.8,3.4,1.8,-0.4,1.6,3.6,4.2,5.2,-1.7,-8.2,0.4,4.0,3.6,3.9,2.0,15.0,5.7,10.8,0.8,7.1
2012Jun,3.8,4.7,2.7,-0.8,0.7,6.1,1.9,2.1,2.5,5.3,9.3,2.7,-1.1,4.5,5.5,-2.2,-5.7,-2.2,0.7,-0.9,2.5,0.5,-13.8,3.4,2.1,7.4,10.7,-2.5,22.5,5.9,2.1,3.7,2.5,0.4,1.4,3.3,3.9,5.9,-0.6,-5.8,2.7,4.6,4.1,4.7,2.5,13.9,1.1,10.7,1.6,6.8
2012May,4.2,5.4,3.7,1.9,-3.6,7.1,2.3,2.3,3.0,6.4,8.1,3.9,-1.1,5.1,5.6,-4.2,-6.9,-1.2,1.9,-1.3,2.8,3.3,24.4,4.6,2.2,6.8,9.8,-1.8,-7.5,8.2,2.4,3.8,3.1,1.4,-2.7,3.6,4.6,5.6,0.0,-3.8,-3.5,4.7,4.2,5.3,2.7,17.7,-0.9,10.0,2.6,7.6
2012Apr,3.8,5.3,4.2,3.8,-2.3,5.8,2.8,2.2,3.2,7.4,4.6,4.9,-0.9,5.0,7.5,-5.8,-15.2,0.9,2.4,-6.4,2.5,2.4,21.8,4.8,9.9,7.5,11.7,0.7,-13.1,7.5,2.7,4.0,4.4,2.7,-2.8,3.5,4.2,5.9,3.3,-0.7,-2.5,4.7,4.6,5.2,5.5,19.1,-4.7,8.9,1.7,6.8
2012Mar,4.0,6.4,3.9,6.7,2.1,6.4,3.3,2.4,3.5,9.1,5.4,7.3,0.1,5.4,10.0,-6.3,-16.5,4.9,1.5,-3.7,-3.1,0.5,26.2,5.4,12.8,6.8,19.6,4.1,-5.6,11.7,3.2,4.3,4.6,3.9,-0.9,3.7,4.6,5.6,3.3,3.7,1.7,4.5,6.4,5.6,5.9,18.9,1.0,8.8,3.4,7.6
2012Feb,3.6,5.9,4.9,9.3,-0.7,5.9,4.1,2.5,3.3,10.5,-0.1,7.3,1.3,5.0,7.4,-5.5,-14.9,13.7,2.1,-3.3,-7.7,2.8,33.6,6.4,12.2,6.9,11.4,7.6,-8.1,10.3,3.4,4.5,4.2,5.5,-2.1,5.3,4.6,6.0,3.7,8.8,-2.1,3.8,5.9,6.0,7.0,19.5,-3.7,8.1,3.3,8.9
2012Jan,4.1,5.3,6.4,11.3,-2.0,5.3,4.6,2.8,3.6,11.0,-8.0,7.3,5.0,4.6,6.9,-1.6,-14.2,25.8,2.4,-0.2,-7.1,3.1,41.7,6.3,12.9,7.3,10.7,8.3,-13.4,9.7,3.7,4.5,4.0,6.3,-5.5,5.5,4.1,5.7,4.2,12.2,-8.5,3.5,6.8,5.2,6.7,21.0,-2.5,4.0,3.3,8.6
2011Dec,2.7,4.6,6.2,11.4,-4.5,5.8,5.1,3.0,4.1,12.2,-8.0,6.8,6.4,4.5,7.8,0.7,-11.2,27.6,10.0,5.7,2.0,11.7,35.0,7.7,12.6,4.5,9.7,10.8,-18.6,12.3,3.9,4.3,4.0,6.9,-5.7,5.8,4.3,5.1,4.6,13.3,-12.1,3.1,8.5,4.0,6.6,24.1,-2.0,0.8,3.2,7.8
2011Nov,3.3,5.5,7.2,13.2,-4.5,4.6,4.5,3.0,4.4,12.2,-4.0,6.9,7.2,4.1,7.4,4.5,-11.3,28.8,9.0,2.0,0.6,10.1,22.3,7.2,15.9,2.5,6.6,8.2,-13.7,11.2,4.1,4.0,4.0,7.0,-4.5,5.6,4.4,4.4,4.5,14.7,-8.4,2.5,8.1,4.5,7.3,22.9,-4.6,0.8,2.9,6.3
2011Oct,3.7,4.0,7.0,11.7,-3.8,5.5,4.2,2.4,4.0,11.8,-6.9,6.4,7.8,3.2,8.6,8.4,-7.4,29.0,7.4,1.4,-0.7,9.6,-13.7,6.6,19.1,1.5,5.1,10.4,-13.1,8.0,4.5,3.7,4.1,7.5,-5.0,5.8,4.3,4.4,5.6,14.6,-8.5,2.4,8.4,3.0,6.5,20.3,-2.0,1.3,6.8,5.8
2011Sep,3.8,3.8,6.3,13.3,-6.0,4.9,4.7,2.6,4.3,11.2,-12.5,6.3,9.0,2.7,10.6,12.0,-8.8,29.7,7.0,2.4,-1.0,9.1,-23.4,4.6,20.4,1.0,5.0,11.3,-15.0,5.5,4.9,3.5,4.4,7.6,-5.1,5.4,4.3,4.3,5.6,13.5,-9.5,1.2,7.5,0.9,6.2,9.2,-4.0,0.3,14.3,6.3
2011Aug,3.7,3.7,4.4,12.0,-4.7,4.1,4.9,2.6,3.7,12.2,-7.6,6.1,13.6,2.4,12.3,24.3,-4.7,29.8,8.6,3.6,-1.1,10.4,-16.6,3.5,18.9,1.1,5.1,13.7,-15.1,5.7,5.1,3.2,4.4,8.5,-2.8,5.4,4.0,3.7,5.3,12.2,-7.4,1.0,7.2,1.9,6.1,11.7,-4.1,0.2,13.7,7.0
2011Jul,3.5,3.8,5.5,11.4,0.1,2.4,5.0,2.0,3.5,10.3,-5.0,6.4,16.0,2.2,12.5,30.5,-4.2,29.7,9.2,5.0,-1.1,10.1,-2.6,3.6,17.6,1.9,5.2,15.2,-11.6,5.8,5.3,3.0,4.3,8.1,-1.8,5.5,3.6,2.8,5.2,11.8,-5.2,0.9,7.4,2.6,6.5,15.3,-3.7,0.5,13.6,6.4
2011Jun,3.5,1.6,5.9,11.9,2.2,1.8,5.1,2.0,2.8,7.3,-3.4,6.4,15.3,2.2,12.6,32.5,-0.7,28.8,8.7,4.1,-1.3,9.0,16.5,5.7,17.0,1.9,6.7,17.9,-11.6,4.2,5.1,2.9,4.1,7.8,1.4,5.6,3.5,2.1,4.4,10.5,-3.5,0.7,6.9,3.4,9.6,17.5,3.5,0.3,14.2,6.6
2011May,3.3,2.3,5.2,12.9,2.5,1.3,4.9,2.0,1.9,7.5,-3.3,5.6,13.7,1.5,11.4,33.2,2.0,27.3,9.0,3.4,-0.7,6.0,0.7,3.4,17.1,1.9,6.2,19.4,5.7,5.1,4.5,2.7,3.6,8.5,3.6,5.4,2.7,1.7,4.6,18.2,-1.7,0.7,5.7,2.1,9.2,17.0,-2.4,0.7,13.0,5.3
2011Apr,3.2,1.4,4.5,9.7,-2.8,2.2,4.8,1.9,1.7,6.2,-8.3,4.9,13.3,0.4,9.4,35.8,6.3,25.2,7.4,6.8,-0.4,6.3,-15.5,4.2,8.8,0.9,5.9,16.8,-1.2,3.2,4.2,2.2,2.9,7.1,0.6,5.1,2.7,1.8,3.0,17.2,-6.3,-0.1,4.9,2.8,5.0,13.0,-1.7,0.8,14.3,5.2
2011Mar,3.0,2.0,4.9,9.2,-2.9,0.9,4.5,1.5,0.9,4.4,-7.5,4.8,11.7,-0.5,7.8,39.1,5.4,22.0,8.0,6.4,-0.5,8.4,-14.1,4.6,6.7,0.2,4.8,16.6,-0.1,1.2,3.6,1.9,2.3,6.0,1.9,4.4,2.0,1.8,3.2,13.8,-4.5,-0.2,4.3,0.0,6.3,12.8,-5.2,1.2,11.8,2.3
2011Feb,3.5,1.3,3.8,5.6,1.6,0.3,3.5,1.8,0.5,2.1,5.0,5.8,9.7,-0.4,8.4,37.9,0.9,13.6,7.7,7.1,-1.1,5.2,-14.2,3.6,5.9,0.1,3.3,13.6,9.2,0.9,3.3,1.4,1.8,4.3,5.4,3.2,2.0,1.0,2.3,9.4,2.8,-0.1,3.5,-0.1,6.0,13.0,1.3,0.9,13.2,1.7
2011Jan,2.0,1.3,1.5,3.1,4.3,-1.3,2.9,1.8,0.2,3.1,5.3,6.1,6.1,-0.9,7.6,33.8,2.9,2.8,8.1,5.3,-1.6,5.7,-14.0,4.1,6.7,-0.9,3.2,13.9,12.4,0.8,2.6,1.1,1.7,2.8,6.7,2.4,1.6,1.0,2.0,1.5,7.2,-0.1,3.2,0.8,5.9,9.0,1.9,1.4,11.7,0.7
2010Dec,2.0,1.2,1.1,2.3,6.2,-0.8,2.2,1.2,-0.8,3.3,22.9,6.2,5.0,-1.3,6.3,31.5,5.9,1.3,1.4,-0.7,-0.2,1.7,-12.5,2.7,4.9,-0.2,4.6,9.8,34.4,-0.6,2.2,0.8,1.6,2.6,11.6,1.8,1.1,0.8,1.8,3.0,17.6,-0.2,1.0,1.4,7.5,9.3,8.5,2.8,9.4,1.2
2010Nov,0.9,-0.8,0.5,3.1,6.9,-1.3,2.1,1.4,-0.9,3.1,16.5,5.9,4.8,-1.4,6.5,28.4,11.9,0.3,2.1,3.0,0.8,-1.2,-7.6,3.4,1.7,0.2,6.7,10.9,31.6,-1.0,1.7,0.7,1.5,2.8,9.6,1.5,0.6,1.0,2.1,5.1,12.7,-0.5,0.3,-0.9,5.8,11.8,6.3,3.0,9.6,0.9
2010Oct,-0.1,1.1,-0.1,4.2,9.1,-1.2,1.9,1.9,-0.4,3.6,13.0,5.0,3.5,-2.7,4.8,24.7,11.9,-0.5,2.6,4.4,2.2,-1.4,37.5,1.6,-1.6,0.1,7.0,9.3,23.5,0.0,1.1,0.3,1.4,3.4,8.5,1.1,-0.2,0.7,3.3,9.9,10.4,-1.2,-0.7,-1.0,5.4,9.7,5.0,2.6,3.9,0.2
2010Sep,-0.4,-0.4,0.0,3.2,8.5,-1.3,1.0,1.1,-0.6,4.1,21.3,4.6,2.0,-3.6,2.6,19.3,4.9,-0.5,3.1,2.5,1.9,-3.7,47.9,3.0,-2.1,-0.6,6.1,9.1,26.3,-0.5,0.6,0.1,0.9,4.2,9.5,0.9,-0.5,0.3,2.6,16.6,11.6,-1.2,-0.7,-1.6,4.2,9.2,3.4,3.2,-3.8,-0.6
2010Aug,-0.3,-0.1,-0.1,2.5,7.1,-1.9,0.4,1.0,-0.7,1.5,16.5,4.6,-2.7,-3.7,0.7,6.3,5.5,-1.1,0.8,1.6,2.1,-3.5,44.4,3.3,-2.4,-0.9,5.1,6.3,24.6,-0.7,0.2,-0.1,0.5,2.9,7.8,0.7,-0.3,0.7,2.5,16.4,9.5,-1.9,-1.1,-1.9,3.7,7.3,0.2,4.1,-5.2,-2.3
2010Jul,-0.2,0.2,-1.2,3.5,6.1,-1.9,-0.1,1.2,-0.1,0.9,13.5,4.5,-4.8,-3.7,-0.2,0.9,5.5,-1.5,0.3,1.1,2.0,-4.3,2.3,3.2,-1.9,-1.7,4.5,4.0,28.4,0.1,-0.2,-0.3,0.2,2.2,6.6,0.4,-0.6,0.8,1.8,15.5,8.9,-1.4,-1.5,-3.2,2.9,1.7,0.5,2.9,-5.4,-2.6
2010Jun,0.1,0.6,-2.0,1.2,5.4,-1.5,-0.7,1.0,0.4,0.3,8.7,4.4,-5.0,-4.3,-0.8,0.4,1.0,-1.8,0.9,3.3,2.3,-4.1,-2.9,-0.1,-4.3,-2.4,1.4,2.1,14.7,0.2,-0.3,-0.5,-0.4,1.3,2.8,0.7,-0.6,0.2,1.5,14.9,4.1,-1.3,-2.1,-4.4,-0.7,-1.2,-1.8,3.6,-5.0,-2.7
2010May,-0.7,0.8,-2.5,-1.2,3.1,-1.4,-0.4,0.7,0.8,-0.8,4.0,4.0,-3.7,-3.9,-1.1,0.7,0.9,-1.2,0.2,4.0,0.3,-6.2,-5.0,-0.3,-6.2,-2.3,1.6,-0.2,10.4,-1.1,-0.4,-0.5,-0.9,-0.8,1.9,0.6,-0.7,0.3,0.1,6.4,4.2,-1.2,-1.6,-2.4,-1.1,-1.9,2.6,2.5,-5.8,-3.2
2010Apr,-0.7,0.0,-2.4,-0.9,7.7,-2.7,-0.7,0.7,0.7,-0.3,10.3,2.8,-3.7,-3.7,0.2,-1.4,-3.8,-1.1,0.6,2.7,1.2,-6.3,6.8,1.1,-8.8,-1.8,1.6,-0.1,15.8,1.7,-0.5,-0.2,-1.6,-0.8,4.9,0.9,-0.6,-0.1,-2.4,5.6,8.8,-0.9,-1.4,-2.9,-1.1,-0.4,0.5,3.6,-7.8,-3.5
2010Mar,-0.9,-0.6,-2.2,-1.9,4.6,-2.2,-0.7,0.9,1.3,0.4,13.8,0.0,-3.5,-3.6,1.0,-4.2,-0.9,-1.3,0.7,0.5,0.1,-7.7,-6.2,0.9,-8.2,-2.0,-1.3,-2.6,14.4,0.6,-0.4,-0.4,-1.7,-1.5,3.5,0.8,-0.3,-0.2,-2.4,4.7,4.8,-0.2,-1.2,-1.9,-2.4,-1.4,0.0,3.1,-8.0,-4.2
2010Feb,-1.4,-0.2,-2.9,-2.2,-2.5,-1.7,-0.7,0.7,1.3,1.0,7.0,-0.5,-3.3,-4.1,-0.3,-6.1,2.6,-1.0,1.0,-0.2,-0.4,-6.6,11.3,1.8,-9.0,-2.1,-0.8,-2.5,3.5,1.3,-0.5,-0.3,-1.8,-2.2,-0.4,1.0,-0.5,-0.3,-2.6,3.6,-4.2,-0.9,-1.3,-4.1,-4.5,-2.3,-6.1,3.0,-8.9,-4.4
2010Jan,-0.9,-1.1,-2.3,-2.0,-4.2,-0.5,-0.7,0.6,1.1,-1.0,4.3,0.5,-5.2,-3.9,-1.0,-9.2,-8.5,-1.0,-0.1,0.4,-0.2,-7.0,-8.9,0.7,-11.7,-1.4,-2.3,-3.3,0.4,0.5,-0.5,-0.2,-2.0,-2.5,-1.6,1.3,-0.9,-0.3,-2.7,5.0,-7.1,-0.9,-1.7,-5.3,-5.0,-1.1,-6.2,3.7,-7.6,-3.6
2009Dec,-0.6,-1.5,-2.5,-1.7,-4.3,-0.8,-0.4,1.2,1.6,-2.5,-7.0,0.8,-5.4,-3.2,-1.1,-14.4,-3.5,-0.3,0.0,2.2,2.7,-8.2,1.3,0.1,-12.2,-1.8,-3.6,-4.8,-7.1,1.6,-0.5,0.3,-2.1,-3.1,-4.3,1.6,-0.7,-0.2,-3.0,3.9,-13.3,-0.7,-1.2,-3.4,-6.5,-1.8,-10.6,2.2,-5.5,-4.1
2009Nov,-0.2,0.1,-3.3,-4.4,0.3,0.0,-0.3,1.2,0.6,-2.1,-4.6,1.2,-5.9,-2.5,-1.8,-21.9,-7.7,0.0,-0.3,5.0,0.2,-4.1,-0.5,0.6,-12.2,-1.9,-6.8,-7.1,-3.4,0.6,-0.3,0.5,-2.6,-4.2,-2.7,1.7,-0.7,-0.8,-4.3,2.2,-8.9,-0.4,-0.9,-3.1,-6.3,-3.8,-5.9,1.4,-4.5,-2.9
2009Oct,0.6,-0.5,-4.2,-7.2,-1.5,2.4,-0.1,1.6,-0.1,-2.2,-6.2,1.4,-5.6,0.3,-1.6,-25.4,-11.2,1.0,0.3,5.6,0.3,-3.7,-24.5,4.2,-13.0,-1.4,-8.7,-7.7,-11.6,1.8,0.0,1.0,-3.4,-5.9,-3.4,2.4,-0.3,-0.1,-9.4,-5.0,-11.5,0.8,-0.3,-2.3,-6.3,-2.4,-4.6,1.6,-3.8,-1.9
2009Sep,1.1,0.5,-3.8,-6.8,0.6,3.1,0.4,2.0,0.2,-2.1,-5.9,1.7,-5.8,2.5,-1.1,-28.9,-3.1,1.3,1.4,7.9,2.5,2.6,-28.3,5.4,-13.7,-0.7,-8.4,-9.2,-4.4,1.5,0.2,1.2,-3.0,-7.6,-2.1,2.9,0.2,0.8,-9.1,-11.2,-8.9,1.6,-0.1,-1.3,-5.4,-1.9,-4.7,1.8,-2.3,-1.3
2009Aug,0.7,1.2,-3.4,-5.3,0.3,3.9,0.8,2.1,0.2,-1.3,-4.1,2.1,-5.8,5.2,0.5,-31.0,4.8,1.6,2.3,8.1,3.8,-0.4,-19.0,4.9,-13.3,-0.7,-8.1,-8.2,-2.6,2.0,0.3,1.9,-2.6,-7.5,-1.1,3.0,0.3,1.1,-8.9,-10.9,-7.4,1.8,0.5,-0.2,-5.1,-2.8,-2.2,1.5,-0.6,-0.2
2009Jul,0.8,1.8,-3.2,-5.4,-0.3,4.5,1.3,2.1,-0.4,-1.0,-7.8,2.5,-5.4,6.2,1.4,-30.6,6.5,2.5,2.0,9.5,3.1,1.6,6.9,4.8,-12.9,-0.7,-8.9,-6.3,-8.5,2.0,0.9,2.4,-2.3,-6.7,-1.1,3.3,0.6,2.5,-8.2,-9.7,-9.3,1.9,0.4,-0.8,-4.6,-0.4,-2.1,2.9,-0.1,0.5
2009Jun,0.8,2.7,-3.6,-4.5,-0.8,4.6,2.1,2.5,-0.8,0.0,-3.0,4.2,-4.2,8.5,2.6,-30.7,9.7,3.2,2.6,9.9,2.6,5.1,8.7,4.7,-9.6,0.0,-7.6,-5.4,-3.1,5.4,1.5,3.0,-2.0,-5.4,0.9,3.3,0.8,3.0,-7.6,-6.1,-5.9,2.4,1.2,0.2,-4.4,0.9,-1.4,1.8,-1.2,1.0
